,Age,Title,Event_text,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level  (C = 176.6 106km2/km),TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_87Sr/86Sr Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
198,242.1,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
199,242.05,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
200,242.0,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
201,241.95,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
202,241.9,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
203,241.85,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
204,241.8,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
205,241.75,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
206,241.7,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
207,241.65,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
208,241.6,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
209,241.55,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
210,241.5,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
211,241.45,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
212,241.4,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
213,241.35,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
214,241.3,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
215,241.25,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
216,241.2,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
217,241.15,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
218,241.1,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
219,241.05,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
220,241.0,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
221,240.95,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
222,240.9,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
223,240.85,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
224,240.8,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225,240.75,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
226,240.7,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
227,240.65,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
228,240.6,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
229,240.55,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
230,240.5,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
231,240.45,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
232,240.4,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
233,240.35,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
234,240.3,Trias, ,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
